designation,common_name,object_type,constellation,ra_hours,dec_degrees,magnitude,size,distance_ly,notes
Sh2-81,,Emission Nebula,,1.5667,30.6600,,73'×45',2380000,"Galaxie du Triangle (M33)"
Sh2-82,,Emission Nebula,,1.6167,15.7833,,10'×9',32000000,"Galaxie spirale (M74)"
Sh2-83,,Emission Nebula,,0.7833,85.2500,,15',4800,"Amas ouvert ancien"
Sh2-84,,Emission Nebula,,1.2167,72.5333,,0.6',3500,"Nébuleuse planétaire"
Sh2-85,,Emission Nebula,,1.3667,-11.8833,,2.3',4200,"Nébuleuse planétaire"
Sh2-86,,Emission Nebula,,1.3833,-13.1167,,1.5'×1.1',240000000,"Galaxie spirale"
Sh2-87,,Emission Nebula,,1.2000,31.0500,,1.4'×0.9',260000000,"Galaxie spirale"
Sh2-88,,Emission Nebula,,1.1833,0.8167,,1.0'×0.6',300000000,"Galaxie spirale"
Sh2-89,,Emission Nebula,,1.1667,-4.1167,,1.2'×0.8',270000000,"Galaxie spirale"
Sh2-90,,Emission Nebula,,1.1500,-6.2333,,1.5'×1.2',210000000,"Galaxie spirale"
Sh2-91,,Emission Nebula,,1.1333,-6.3500,,2.8'×1.3',190000000,"Galaxie spirale"
Sh2-92,,Emission Nebula,,1.1167,-12.1000,,2.4'×0.8',230000000,"Galaxie spirale"
Sh2-93,,Emission Nebula,,1.1000,-17.0833,,1.1'×0.7',280000000,"Galaxie spirale"
Sh2-94,,Emission Nebula,,1.0833,10.8167,,1.0'×0.7',220000000,"Galaxie elliptique"
Sh2-95,,Emission Nebula,,1.0667,31.3500,,0.2',8000,"Nébuleuse planétaire"
Sh2-96,,Emission Nebula,,1.0500,21.9333,,1.3'×0.8',240000000,"Galaxie lenticulaire"
Sh2-97,,Emission Nebula,,1.0167,33.2167,,1.0'×0.6',290000000,"Galaxie spirale"
Sh2-98,,Emission Nebula,,1.0000,-56.7333,,1.0'×0.8',250000000,"Galaxie elliptique"
Sh2-99,,Emission Nebula,,0.9833,28.5667,,1.2'×0.9',240000000,"Galaxie spirale"
Sh2-100,,Emission Nebula,,0.9500,25.5000,,2.5'×1.2',210000000,"Galaxie spirale"
Sh2-101,Nébuleuse de la Tulipe,Emission Nebula,Cygnus,20.2067,36.3667,,8'×6',6000,"Nébuleuse de la Tulipe"
Sh2-102,,Emission Nebula,,0.9000,-24.9833,,5.8'×1.4',110000000,"Galaxie spirale"
Sh2-103,,Emission Nebula,,0.8667,25.9167,,2.3'×1.9',180000000,"Galaxie spirale"
Sh2-104,,Emission Nebula,,0.8500,27.8833,,1.7'×1.2',220000000,"Galaxie spirale"
Sh2-105,,Emission Nebula,,0.8167,33.3500,,2.1'×1.3',200000000,"Galaxie spirale"
Sh2-106,,Emission Nebula,,0.7833,33.0167,,3.4'×1.9',190000000,"Galaxie spirale"
Sh2-107,,Emission Nebula,,0.7667,32.1667,,1.6'×1.2',240000000,"Galaxie spirale"
Sh2-108,,Emission Nebula,,0.7333,27.7167,,0.8'×0.6',310000000,"Galaxie spirale"
Sh2-109,,Emission Nebula,,0.7167,-12.0833,,1.0'×0.7',280000000,"Galaxie spirale"
Sh2-110,,Emission Nebula,,1.3500,48.3167,,1.1'×0.8',280000000,"Galaxie spirale"
Sh2-111,,Emission Nebula,,2.4500,33.5833,,10.5'×5.9',30300000,"Galaxie spirale"
Sh2-112,,Emission Nebula,,2.3667,42.3500,,13.5'×2.5',27300000,"Galaxie spirale vue par la tranche"
Sh2-113,,Emission Nebula,,2.3667,57.1333,,30',,"Partie du Double Amas"
Sh2-114,,Emission Nebula,,2.3167,57.1333,,30',,"Partie du Double Amas"
Sh2-115,,Emission Nebula,,2.6667,39.0167,,8.7'×3.0',36400000,"Galaxie lenticulaire"
Sh2-116,,Emission Nebula,,2.7167,-0.0167,,7'×6',47000000,"Galaxie spirale Seyfert (M77)"
Sh2-117,,Emission Nebula,,9.9167,69.0667,,21'×10',12000000,"Galaxie de Bode (M81)"
Sh2-118,,Emission Nebula,,9.9333,69.6833,,9'×4',12000000,"Galaxie du Cigare (M82)"
Sh2-119,RCW 174,Emission Nebula,Cygnus,21.2750,42.1667,,30',1800,"Nébuleuse de réflexion"
Sh2-120,,Emission Nebula,,10.7833,11.8167,,6'×4',38000000,"Galaxie spirale (M96)"
Sh2-121,,Emission Nebula,,10.7833,12.5833,,5'×4',38000000,"Galaxie elliptique (M105)"
Sh2-122,,Emission Nebula,,11.1833,55.6667,,8'×1',45000000,"Galaxie spirale vue par la tranche (M108)"
Sh2-123,,Emission Nebula,,11.2500,55.0167,,3.4'×3.3',2030,"Nébuleuse du Hibou (M97)"
Sh2-124,,Emission Nebula,,11.3167,13.0833,,8'×3',35000000,"Galaxie spirale (M65)"
Sh2-125,,Emission Nebula,,11.3333,12.9833,,8'×4',36000000,"Galaxie spirale (M66)"
Sh2-126,,Emission Nebula,,11.9667,53.3833,,7'×4',83500000,"Galaxie spirale (M109)"
Sh2-127,,Emission Nebula,,12.3167,47.3000,,19'×8',25000000,"Galaxie spirale (M106)"
Sh2-128,,Emission Nebula,,12.3667,4.4667,,6'×5',52500000,"Galaxie spirale (M61)"
Sh2-129,,Emission Nebula,Cepheus,21.2333,59.9667,,60',3200,"Nébuleuse à émission"
Sh2-130,,Emission Nebula,,12.4167,12.8833,,7'×6',60000000,"Galaxie elliptique (M84)"
Sh2-131,,Emission Nebula,,12.4167,18.1833,,7'×5',60000000,"Galaxie lenticulaire (M85)"
Sh2-132,Nébuleuse du Lion,Emission Nebula,Cepheus,22.3167,56.6167,,30',3000,"Nébuleuse du Lion"
Sh2-133,,Emission Nebula,,12.4958,8.0000,,10'×8',55900000,"Galaxie elliptique (M49)"
Sh2-134,,Emission Nebula,,12.5167,12.3917,,7'×7',53500000,"Galaxie elliptique active (M87)"
Sh2-135,,Emission Nebula,,12.5333,14.4167,,7'×4',60000000,"Galaxie spirale (M88)"
Sh2-136,,Emission Nebula,Cepheus,22.5333,57.6833,,15',2800,"Nébuleuse à émission"
Sh2-137,,Emission Nebula,,12.5833,12.5500,,4'×4',50000000,"Galaxie elliptique (M89)"
Sh2-138,,Emission Nebula,,12.6167,13.1667,,10'×5',58000000,"Galaxie spirale (M90)"
Sh2-139,,Emission Nebula,,12.6167,11.8167,,5'×4',62000000,"Galaxie spirale (M58)"
Sh2-140,,Emission Nebula,,12.6667,-11.6167,,9'×4',50000000,"Galaxie du Sombrero (M104)"
Sh2-141,,Emission Nebula,,12.7000,11.6500,,5'×3',60000000,"Galaxie elliptique (M59)"
Sh2-142,,Emission Nebula,,12.7333,11.5500,,7'×6',55000000,"Galaxie elliptique (M60)"
Sh2-143,,Emission Nebula,,12.8333,41.1167,,7'×3',16000000,"Galaxie spirale (M94)"
Sh2-144,,Emission Nebula,,12.8958,21.6833,,10'×5',24000000,"Galaxie de l'Œil Noir (M64)"
Sh2-145,,Emission Nebula,,13.2167,18.1667,,13',,"Amas globulaire (M53)"
Sh2-146,,Emission Nebula,,13.2667,42.0167,,10'×6',37000000,"Galaxie du Tournesol (M63)"
Sh2-147,,Emission Nebula,,13.4958,47.1950,,11'×7',23000000,"Galaxie du Tourbillon (M51)"
Sh2-148,,Emission Nebula,,13.6167,-29.8667,,11'×10',15000000,"Galaxie spirale (M83)"
Sh2-149,,Emission Nebula,,13.7033,28.3767,,18',,"Amas globulaire (M3)"
Sh2-150,,Emission Nebula,,14.0500,54.3500,,22'×22',21000000,"Galaxie du Moulinet (M101)"
Sh2-151,,Emission Nebula,,15.1000,55.7667,,6'×3',50000000,"Galaxie lenticulaire (M102)"
Sh2-152,,Emission Nebula,,15.3086,2.0808,,23',,"Amas globulaire (M5)"
Sh2-153,,Emission Nebula,,16.2833,-22.9833,,10',,"Amas globulaire (M80)"
Sh2-154,,Emission Nebula,,16.3917,-26.5250,,36',,"Amas globulaire (M4)"
Sh2-155,Nébuleuse de la Cave,Emission Nebula,Cepheus,22.9667,62.5833,,50'×30',2400,"Nébuleuse de la Cave"
Sh2-156,,Emission Nebula,,16.6950,36.4617,,20',,"Grand Amas d'Hercule (M13)"
Sh2-157,,Emission Nebula,Cassiopeia,23.3167,60.0333,,15'×10',8900,"Nébuleuse à émission"
Sh2-158,,Emission Nebula,,16.9500,-4.1000,,20',,"Amas globulaire (M10)"
Sh2-159,,Emission Nebula,,17.0167,-30.1167,,15',,"Amas globulaire (M62)"
Sh2-160,,Emission Nebula,,17.0483,-26.2667,,17'×14',28700,"Amas globulaire (M19)"
Sh2-161,,Emission Nebula,,17.3167,-18.5167,,12',,"Amas globulaire (M9)"
Sh2-162,Nébuleuse de Lower,Emission Nebula,Cassiopeia,23.5333,58.1667,,45',2600,"Nébuleuse de Lower"
Sh2-163,,Emission Nebula,,17.6283,-3.2450,,11',,"Amas globulaire (M14)"
Sh2-164,,Emission Nebula,,17.6667,-32.2167,,25',,"Amas du Papillon (M6)"
Sh2-165,,Emission Nebula,,17.8958,-34.7833,,80',,"Amas de Ptolémée (M7)"
Sh2-166,,Emission Nebula,,17.9333,-19.0167,,27',,"Amas ouvert (M23)"
Sh2-167,,Emission Nebula,,18.0333,-23.0333,,28'×27',5200,"Nébuleuse Trifide (M20)"
Sh2-168,,Emission Nebula,,18.0617,-24.3833,,90'×40',4100,"Nébuleuse de la Lagune (M8)"
Sh2-169,,Emission Nebula,,18.0750,-22.5000,,13',,"Amas ouvert (M21)"
Sh2-170,,Emission Nebula,,18.3167,-13.8167,,35'×28',7000,"Nébuleuse de l'Aigle (M16)"
Sh2-171,,Emission Nebula,Cassiopeia,0.1833,50.2333,,25',4900,"Nébuleuse à émission"
Sh2-172,,Emission Nebula,,18.3458,-16.1833,,46'×37',5000,"Nébuleuse Oméga (M17)"
Sh2-173,,Emission Nebula,,18.4167,-24.8667,,15',,"Amas globulaire (M28)"
Sh2-174,,Emission Nebula,,18.5167,-32.3500,,9.8',,"Amas globulaire (M69)"
Sh2-175,,Emission Nebula,,18.6167,-23.9000,,32',,"Amas globulaire (M22)"
Sh2-176,,Emission Nebula,,18.7167,-32.3000,,8',,"Amas globulaire (M70)"
Sh2-177,,Emission Nebula,,18.7500,-9.3833,,15',,"Amas ouvert (M26)"
Sh2-178,,Emission Nebula,,18.8500,-6.2667,,14',,"Amas du Canard Sauvage (M11)"
Sh2-179,,Emission Nebula,,18.9167,-30.4833,,12',,"Amas globulaire (M54)"
Sh2-180,,Emission Nebula,,18.8875,33.0292,,1.4'×1.0',2300,"Nébuleuse de l'Anneau (M57)"
Sh2-181,,Emission Nebula,,19.2667,30.1833,,9',,"Amas globulaire (M56)"
Sh2-182,,Emission Nebula,,19.6667,-30.9667,,19',,"Amas globulaire (M55)"
Sh2-183,,Emission Nebula,,19.8958,18.7833,,7',,"Amas globulaire (M71)"
Sh2-184,,Emission Nebula,,19.9958,22.7217,,8'×5.7',1360,"Nébuleuse de l'Haltère (M27)"
Sh2-185,Nébuleuse Bulle,Emission Nebula,Cassiopeia,23.3333,61.2167,,15'×8',7100,"Nébuleuse Bulle (NGC 7635)"
Sh2-186,,Emission Nebula,,20.8833,-12.5333,,6',,"Amas globulaire (M72)"
Sh2-187,,Emission Nebula,,20.9833,-12.6333,,2.8',,"Astérisme (M73)"
Sh2-188,,Emission Nebula,Cassiopeia,0.4500,64.8333,,15',4000,"Nébuleuse à émission"
Sh2-189,,Emission Nebula,,21.5000,12.1667,,18',,"Amas globulaire (M15)"
Sh2-190,,Emission Nebula,,21.5333,48.4333,,32',,"Amas ouvert (M39)"
Sh2-191,,Emission Nebula,,21.6667,-23.1833,,12',,"Amas globulaire (M30)"
Sh2-192,,Emission Nebula,,23.4083,61.5833,,13',,"Amas ouvert (M52)"
Sh2-193,,Emission Nebula,,21.5558,-0.8233,,16',,"Amas globulaire (M2)"
Sh2-194,,Emission Nebula,,7.4833,20.9167,,0.8',4200,"Nébuleuse de l'Esquimau"
Sh2-195,,Emission Nebula,,5.5917,-5.3833,,85'×60',1344,"Grande Nébuleuse d'Orion (M42)"
Sh2-196,,Emission Nebula,,5.5917,-5.2667,,20'×15',1600,"Nébuleuse de Mairan (M43)"
Sh2-197,,Emission Nebula,,5.7833,0.0500,,8'×6',1600,"Nébuleuse de réflexion (M78)"
Sh2-198,,Emission Nebula,,6.5333,5.0333,,80'×60',5200,"Nébuleuse de la Rosette"
Sh2-199,Nébuleuse de l'Âme,Emission Nebula,Cassiopeia,0.4000,61.2000,,100'×50',6500,"Nébuleuse de l'Âme"
Sh2-200,,Emission Nebula,,6.7833,-20.7333,,38',,"Amas ouvert (M41)"
Sh2-201,,Emission Nebula,,7.0500,-8.3333,,16',,"Amas ouvert (M50)"
Sh2-202,,Emission Nebula,Cassiopeia,0.6000,64.2500,,20',8000,"Nébuleuse à émission"
Sh2-203,,Emission Nebula,,7.6917,-14.8167,,27',,"Amas ouvert (M46)"
Sh2-204,,Emission Nebula,,7.7333,-23.8667,,22',,"Amas ouvert (M93)"
Sh2-205,,Emission Nebula,,8.2292,-5.8000,,54',,"Amas ouvert (M48)"
Sh2-206,,Emission Nebula,Andromeda,0.7500,40.4167,,35'×25',3200,"Nébuleuse à émission"
Sh2-207,,Emission Nebula,,8.8500,11.8167,,30',,"Amas ouvert ancien (M67)"
Sh2-208,,Emission Nebula,,6.1458,24.3333,,28',,"Amas ouvert (M35)"
Sh2-209,,Emission Nebula,,5.8792,32.5500,,24',,"Amas ouvert (M37)"
Sh2-210,,Emission Nebula,,5.6000,34.1333,,12',,"Amas ouvert (M36)"
Sh2-211,,Emission Nebula,,5.4750,35.8333,,21',,"Amas ouvert (M38)"
Sh2-212,,Emission Nebula,,1.9500,37.6833,,50',,"Amas ouvert dispersé"
Sh2-213,,Emission Nebula,,2.3167,57.1333,,30',,"Amas ouvert de Persée"
Sh2-214,,Emission Nebula,,2.3667,57.1333,,30',,"Amas ouvert de Persée"
Sh2-215,,Emission Nebula,,2.7000,42.7833,,35',,"Amas ouvert (M34)"
Sh2-216,Nébuleuse de Californie,Emission Nebula,Perseus,4.0333,36.3667,,145'×40',1000,"Nébuleuse de Californie (NGC 1499)"
Sh2-217,,Emission Nebula,Perseus,4.1500,30.7833,,8'×6',800,"Nébuleuse à émission"
Sh2-218,,Emission Nebula,,4.1500,30.7833,,2.2',800,"Nébuleuse planétaire"
Sh2-219,,Emission Nebula,Eridanus,4.2333,-12.7333,,18',4900,"Nébuleuse planétaire"
Sh2-220,,Emission Nebula,,5.4167,-24.5167,,9',42100,"Amas globulaire (M79)"
Sh2-221,,Emission Nebula,,1.2167,72.5333,,0.6',3500,"Nébuleuse planétaire"
Sh2-222,,Emission Nebula,,1.3667,-11.8833,,2.3',4200,"Nébuleuse planétaire"
Sh2-223,,Emission Nebula,,22.0000,60.0000,,20',3000,"Nébuleuse à émission Sharpless"
Sh2-224,Grande Nébuleuse d'Orion,Emission Nebula,Orion,5.5833,-5.3833,4.0,85'×60',1344,"Grande Nébuleuse d'Orion (NGC 1976 - M42)"
Sh2-225,,Emission Nebula,,5.5917,-5.2667,,20'×15',1600,"Nébuleuse de Mairan (M43)"
Sh2-226,,Emission Nebula,,5.7833,0.0500,,8'×6',1600,"Nébuleuse de réflexion (M78)"
Sh2-227,,Emission Nebula,,6.5333,5.0333,,80'×60',5200,"Nébuleuse de la Rosette"
Sh2-228,,Emission Nebula,,6.6833,9.8833,,20',2700,"Nébuleuse du Cône"
Sh2-229,,Emission Nebula,,6.7833,-20.7333,,38',,"Amas ouvert (M41)"
Sh2-230,,Emission Nebula,,7.0500,-8.3333,,16',,"Amas ouvert (M50)"
Sh2-231,,Emission Nebula,,7.6083,-14.8167,,30',,"Amas ouvert (M47)"
Sh2-232,,Emission Nebula,,7.6917,-14.8167,,27',,"Amas ouvert (M46)"
Sh2-233,,Emission Nebula,,7.7333,-23.8667,,22',,"Amas ouvert (M93)"
Sh2-234,,Emission Nebula,,8.2292,-5.8000,,54',,"Amas ouvert (M48)"
Sh2-235,,Emission Nebula,Auriga,5.7667,35.8333,,20'×15',1600,"Nébuleuse à émission"
Sh2-236,,Emission Nebula,,8.8500,11.8167,,30',,"Amas ouvert ancien (M67)"
Sh2-237,,Emission Nebula,Auriga,5.8000,36.1333,,8'×6',1600,"Nébuleuse à émission"
Sh2-238,,Emission Nebula,,5.8792,32.5500,,24',,"Amas ouvert (M37)"
Sh2-239,,Emission Nebula,,5.6000,34.1333,,12',,"Amas ouvert (M36)"
Sh2-240,Simeis 147,Supernova Remnant,Taurus,5.6500,27.9667,,180'×120',3000,"Rémanent de supernova (Simeis 147)"
Sh2-241,,Emission Nebula,,1.9500,37.6833,,50',,"Amas ouvert dispersé"
Sh2-242,,Emission Nebula,,2.3167,57.1333,,30',,"Amas ouvert de Persée"
Sh2-243,Nébuleuse de la Rosette,Emission Nebula,Monoceros,6.5333,5.0333,9.0,80'×60',5200,"Nébuleuse de la Rosette (NGC 2237)"
Sh2-244,,Emission Nebula,,2.7000,42.7833,,35',,"Amas ouvert (M34)"
Sh2-245,,Emission Nebula,,1.7000,51.5667,,2.7'×1.8',2500,"Nébuleuse du Petit Haltère (M76)"
Sh2-246,,Emission Nebula,,4.0500,36.3667,,145'×40',1000,"Nébuleuse de Californie"
Sh2-247,,Emission Nebula,,4.1500,30.7833,,2.2',800,"Nébuleuse planétaire"
Sh2-248,,Emission Nebula,,4.2333,-12.7333,,0.3',4900,"Nébuleuse planétaire"
Sh2-249,Nébuleuse du Cône,Emission Nebula,Monoceros,6.6833,9.8833,,20',2700,"Nébuleuse du Cône (NGC 2264)"
Sh2-250,,Emission Nebula,,0.8750,-72.8000,,318'×203',200000,"Petit Nuage de Magellan"
Sh2-251,,Emission Nebula,,1.0500,-70.8500,,12.9',27700,"Amas globulaire"
Sh2-252,Nébuleuse de la Rosette,Emission Nebula,Monoceros,6.5333,5.0333,9.0,80'×60',5200,"Nébuleuse de la Rosette (NGC 2237)"
Sh2-253,,Emission Nebula,,0.8667,-26.5833,,13.8',28700,"Amas globulaire"
Sh2-254,Nébuleuse de l'Aigle,Emission Nebula,Serpens,18.3167,-13.8167,,35'×28',7000,"Nébuleuse de l'Aigle (M16)"
Sh2-255,,Emission Nebula,,0.6500,48.3333,,11.7'×9.8',2010000,"Compagnon d'Andromède"
Sh2-256,,Emission Nebula,,0.5500,48.5167,,13.2'×7.8',2380000,"Compagnon d'Andromède"
Sh2-257,,Emission Nebula,,0.6667,41.6833,,17'×10',2900000,"Compagnon d'Andromède"
Sh2-258,,Emission Nebula,,0.7125,40.8650,,8'×6',2650000,"Compagnon d'Andromède"
Sh2-259,,Emission Nebula,,0.7125,41.2683,,190'×60',2540000,"Grande Galaxie d'Andromède"
Sh2-260,,Emission Nebula,,1.5667,30.6600,,73'×45',2380000,"Galaxie du Triangle (M33)"
Sh2-261,,Emission Nebula,,1.6167,15.7833,,10'×9',32000000,"Galaxie spirale (M74)"
Sh2-262,,Emission Nebula,,0.7833,85.2500,,15',4800,"Amas ouvert ancien"
Sh2-263,,Emission Nebula,,1.2167,72.5333,,0.6',3500,"Nébuleuse planétaire"
Sh2-264,Nébuleuse de la Tête de Sorcière,Emission Nebula,Orion,5.5833,9.9000,,8°,1600,"Nébuleuse de la Tête de Sorcière (Lambda Orionis)"
Sh2-265,,Emission Nebula,,1.3833,-13.1167,,1.5'×1.1',240000000,"Galaxie spirale"
Sh2-266,,Emission Nebula,,1.2000,31.0500,,1.4'×0.9',260000000,"Galaxie spirale"
Sh2-267,,Emission Nebula,,1.1833,0.8167,,1.0'×0.6',300000000,"Galaxie spirale"
