designation,common_name,object_type,constellation,ra_hours,dec_degrees,magnitude,size,distance_ly,notes
PGC 2403,NGC 2403,Galaxy,Camelopardalis,7.6167,65.6167,8.9,21.9'×12.3',11000000,"Galaxie spirale PGC"
PGC 2683,NGC 2683,Galaxy,Lynx,8.8750,33.4167,9.8,9.3'×2.2',25000000,"Galaxie spirale PGC"
PGC 2841,NGC 2841,Galaxy,Ursa Major,9.3667,50.9833,9.2,8.1'×3.5',46000000,"Galaxie spirale PGC"
PGC 2903,NGC 2903,Galaxy,Leo,9.5333,21.5000,8.9,12.6'×6.0',30000000,"Galaxie spirale barrée PGC"
PGC 2976,NGC 2976,Galaxy,Ursa Major,9.7917,67.9167,10.1,5.9'×2.7',12000000,"Galaxie spirale PGC"
PGC 3031,NGC 3031,Galaxy,Ursa Major,9.9167,69.0667,6.9,21'×10',12000000,"Galaxie de Bode M81"
PGC 3034,NGC 3034,Galaxy,Ursa Major,9.9333,69.6833,8.4,9'×4',12000000,"Galaxie du Cigare M82"
PGC 3115,NGC 3115,Galaxy,Sextans,10.0833,-7.7167,8.9,7.2'×2.5',32000000,"Galaxie lenticulaire PGC"
PGC 3184,NGC 3184,Galaxy,Ursa Major,10.3000,41.4167,9.7,7.4'×6.9',38000000,"Galaxie spirale PGC"
PGC 3198,NGC 3198,Galaxy,Ursa Major,10.3167,45.5500,10.3,8.5'×3.3',45000000,"Galaxie spirale PGC"
PGC 3351,NGC 3351,Galaxy,Leo,10.7333,11.7000,9.7,7.4'×5.0',38000000,"Galaxie spirale M95"
PGC 3368,NGC 3368,Galaxy,Leo,10.7833,11.8167,9.2,7.1'×5.5',38000000,"Galaxie spirale M96"
PGC 3379,NGC 3379,Galaxy,Leo,10.7833,12.5833,9.3,5.4'×4.8',38000000,"Galaxie elliptique M105"
PGC 3521,NGC 3521,Galaxy,Leo,11.0917,-0.0333,9.0,11.0'×5.1',35000000,"Galaxie spirale PGC"
PGC 3623,NGC 3623,Galaxy,Leo,11.3167,13.0833,9.3,10.0'×3.0',35000000,"Galaxie spirale M65"
PGC 3627,NGC 3627,Galaxy,Leo,11.3333,12.9833,8.9,9.1'×4.2',36000000,"Galaxie spirale M66"
PGC 3628,NGC 3628,Galaxy,Leo,11.3333,13.5833,9.5,15.0'×3.6',35000000,"Galaxie spirale vue par la tranche PGC"
PGC 3675,NGC 3675,Galaxy,Ursa Major,11.4333,43.5833,10.2,5.9'×3.0',40000000,"Galaxie spirale PGC"
PGC 3953,NGC 3953,Galaxy,Ursa Major,11.8958,52.3333,10.1,6.9'×3.5',55000000,"Galaxie spirale barrée PGC"
PGC 3992,NGC 3992,Galaxy,Ursa Major,11.9667,53.3833,9.8,7.6'×4.7',55000000,"Galaxie spirale M109"
PGC 4258,NGC 4258,Galaxy,Canes Venatici,12.3167,47.3000,8.4,19.0'×8.0',25000000,"Galaxie spirale M106"
PGC 4374,NGC 4374,Galaxy,Virgo,12.4167,12.8833,9.1,6.5'×6.0',55000000,"Galaxie elliptique M84"
PGC 4382,NGC 4382,Galaxy,Virgo,12.4167,18.1833,9.2,7.1'×5.2',60000000,"Galaxie lenticulaire M85"
PGC 4406,NGC 4406,Galaxy,Virgo,12.4333,12.9500,8.6,8.3'×6.0',52000000,"Galaxie elliptique M86"
PGC 4449,NGC 4449,Galaxy,Canes Venatici,12.4667,44.0833,9.4,6.2'×4.4',12400000,"Galaxie irrégulière PGC"
PGC 4472,NGC 4472,Galaxy,Virgo,12.4958,8.0000,8.4,10.2'×8.4',55900000,"Galaxie elliptique M49"
PGC 4486,NGC 4486,Galaxy,Virgo,12.5167,12.3917,8.6,8.3'×6.6',53500000,"Galaxie elliptique active M87"
PGC 4501,NGC 4501,Galaxy,Virgo,12.5333,14.4167,9.6,7.0'×4.0',60000000,"Galaxie spirale M88"
PGC 4535,NGC 4535,Galaxy,Virgo,12.5667,-8.1833,9.8,7.1'×5.0',54000000,"Galaxie spirale barrée PGC"
PGC 4548,NGC 4548,Galaxy,Virgo,12.5833,14.4833,10.2,5.4'×4.4',50000000,"Galaxie spirale M91"
PGC 4552,NGC 4552,Galaxy,Virgo,12.5833,12.5500,9.8,5.4'×4.4',50000000,"Galaxie elliptique M89"
PGC 4569,NGC 4569,Galaxy,Virgo,12.6167,13.1667,9.5,9.5'×4.4',58000000,"Galaxie spirale M90"
PGC 4579,NGC 4579,Galaxy,Virgo,12.6167,11.8167,9.7,5.9'×4.4',62000000,"Galaxie spirale M58"
PGC 4594,NGC 4594,Galaxy,Virgo,12.6667,-11.6167,8.0,8.7'×3.5',50000000,"Galaxie du Sombrero M104"
PGC 4621,NGC 4621,Galaxy,Virgo,12.7000,11.6500,9.8,5.4'×3.2',60000000,"Galaxie elliptique M59"
PGC 4649,NGC 4649,Galaxy,Virgo,12.7333,11.5500,8.8,7.4'×6.4',55000000,"Galaxie elliptique M60"
PGC 4736,NGC 4736,Galaxy,Canes Venatici,12.8333,41.1167,8.2,11.2'×9.1',16000000,"Galaxie spirale M94"
PGC 4826,NGC 4826,Galaxy,Coma Berenices,12.8958,21.6833,8.5,10.0'×5.4',24000000,"Galaxie de l'Œil Noir M64"
PGC 5055,NGC 5055,Galaxy,Canes Venatici,13.2667,42.0167,8.6,12.6'×7.2',37000000,"Galaxie du Tournesol M63"
PGC 5128,NGC 5128,Galaxy,Centaurus,13.4333,-43.0167,6.8,25.7'×20.0',13700000,"Galaxie elliptique Centaurus A"
PGC 5194,NGC 5194,Galaxy,Canes Venatici,13.4958,47.1950,8.4,11.2'×6.9',23000000,"Galaxie du Tourbillon M51"
PGC 5236,NGC 5236,Galaxy,Hydra,13.6167,-29.8667,7.6,12.9'×11.5',15000000,"Galaxie spirale M83"
PGC 5457,NGC 5457,Galaxy,Ursa Major,14.0500,54.3500,7.9,28.8'×26.9',21000000,"Galaxie du Moulinet M101"
PGC 5866,NGC 5866,Galaxy,Draco,15.1000,55.7667,9.9,4.7'×1.9',50000000,"Galaxie lenticulaire M102"
PGC 6822,IC 4895,Galaxy,Sagittarius,19.7500,-14.8000,9.3,15.5'×13.5',1630000,"Galaxie de Barnard PGC"
PGC 9892,IC 1613,Galaxy,Cetus,1.0833,2.1167,9.9,16.2'×14.5',2380000,"Galaxie irrégulière naine PGC"
PGC 10822,NGC 404,Galaxy,Andromeda,1.1500,35.7167,10.3,4.3'×4.0',10000000,"Galaxie lenticulaire PGC"
PGC 17716,NGC 2366,Galaxy,Camelopardalis,7.4500,69.2167,10.9,8.1'×3.2',10000000,"Galaxie irrégulière PGC"
PGC 21693,NGC 2770,Galaxy,Lynx,9.1500,33.1500,12.0,3.1'×1.3',88000000,"Galaxie spirale PGC"
PGC 23324,NGC 2787,Galaxy,Ursa Major,9.3167,69.2000,10.8,3.2'×2.1',24000000,"Galaxie lenticulaire PGC"
PGC 28630,NGC 3109,Galaxy,Hydra,10.0500,-26.1667,10.4,19.0'×3.7',4300000,"Galaxie irrégulière PGC"
PGC 29194,NGC 3147,Galaxy,Draco,10.2833,73.4000,10.6,4.0'×3.5',130000000,"Galaxie spirale PGC"
PGC 32192,NGC 3344,Galaxy,Leo Minor,10.7167,24.9333,9.9,7.1'×6.5',20000000,"Galaxie spirale PGC"
PGC 35345,NGC 3718,Galaxy,Ursa Major,11.5417,53.0667,10.5,8.1'×4.0',52000000,"Galaxie spirale barrée PGC"
PGC 40153,NGC 4214,Galaxy,Canes Venatici,12.2667,36.3167,9.7,8.5'×6.6',10000000,"Galaxie irrégulière PGC"
PGC 41361,NGC 4395,Galaxy,Canes Venatici,12.4167,33.5500,10.2,13.2'×11.0',14000000,"Galaxie spirale PGC"
PGC 44182,NGC 4605,Galaxy,Ursa Major,12.6667,61.6167,10.3,5.8'×2.3',16800000,"Galaxie spirale PGC"
PGC 46957,NGC 4800,Galaxy,Canes Venatici,12.9000,46.5333,11.9,1.8'×1.4',50000000,"Galaxie spirale PGC"
PGC 50063,NGC 5033,Galaxy,Canes Venatici,13.2167,36.6000,10.1,10.5'×5.6',56000000,"Galaxie spirale PGC"
PGC 51522,NGC 5194,Galaxy,Canes Venatici,13.4958,47.1950,8.4,11.2'×6.9',23000000,"Galaxie du Tourbillon M51 (répétition)"
PGC 54559,NGC 5474,Galaxy,Ursa Major,14.0833,53.6667,10.8,4.8'×4.3',21000000,"Galaxie irrégulière PGC"
PGC 57537,NGC 5907,Galaxy,Draco,15.2667,56.3167,10.4,12.8'×1.4',50000000,"Galaxie spirale vue par la tranche PGC"
PGC 60550,IC 4662,Galaxy,Pavo,17.7833,-64.6333,11.7,2.1'×1.4',8000000,"Galaxie irrégulière PGC"
PGC 65367,NGC 6946,Galaxy,Cygnus,20.5833,60.1333,8.9,11.5'×9.8',22000000,"Galaxie spirale PGC"
PGC 69327,IC 5152,Galaxy,Indus,22.0167,-51.3000,11.7,5.2'×3.0',6000000,"Galaxie irrégulière naine PGC"
